tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-15	0.1	63.7	None	g	-43.6	1.22e-05	14	8	1e-08	1e-08	1e-08	u	273	15	0.012	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-16	0.1	63.5	None	g	-41.5	1.11e-05	15	8	1e-08	1e-08	1e-08	u	273	16	0.013000000000000001	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-17	0.1	63.4	None	g	-39.2	1.02e-05	16	8	1e-08	1e-08	1e-08	u	273	17	0.013999999999999999	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-18	0.1	63.2	None	g	-36.5	9.3e-06	17	8	1e-08	1e-08	1e-08	u	273	18	0.015	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-19	0.1	62.9	None	g	-33.3	8.49e-06	18	8	1e-08	1e-08	1e-08	u	273	19	0.016	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-20	0.1	62.8	None	g	-29.8	7.77e-06	19	8	1e-08	1e-08	1e-08	u	273	20	0.017	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-21	0.1	62.8	None	g	-26.2	7.19e-06	20	8	1e-08	1e-08	1e-08	u	273	21	0.018000000000000002	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-22	0.1	62.6	None	g	-22.0	6.64e-06	21	8	1e-08	1e-08	1e-08	u	273	22	0.019	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-23	0.1	62.6	None	g	-18.4	6.25e-06	22	8	1e-08	1e-08	1e-08	u	273	23	0.02	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-24	0.1	62.5	None	g	-14.3	5.89e-06	23	8	1e-08	1e-08	1e-08	u	273	24	0.021	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-25	0.1	62.6	None	g	-10.4	5.59e-06	24	8	1e-08	1e-08	1e-08	u	273	25	0.022000000000000002	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-26	0.1	62.5	None	g	-6.7	5.35e-06	25	8	1e-08	1e-08	1e-08	u	273	26	0.023	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-27	0.1	62.6	None	g	-3.3	5.16e-06	26	8	1e-08	1e-08	1e-08	u	273	27	0.024	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-28	0.1	62.7	None	g	-0.3	5.01e-06	27	8	1e-08	1e-08	1e-08	u	273	28	0.025	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-29	0.1	62.9	None	g	5.6	4.73e-06	28	8	1e-08	1e-08	1e-08	u	273	29	0.0275	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-30	0.1	63.1	None	g	11.8	4.52e-06	29	8	1e-08	1e-08	1e-08	u	273	30	0.03	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-31	0.1	63.3	None	g	16.2	4.38e-06	30	8	1e-08	1e-08	1e-08	u	273	31	0.0325	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-32	0.1	63.5	None	g	19.9	4.28e-06	31	8	1e-08	1e-08	1e-08	u	273	32	0.035	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-33	0.1	63.4	None	g	23.0	4.23e-06	32	8	1e-08	1e-08	1e-08	u	273	33	0.0375	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-34	0.1	63.6	None	g	24.3	4.19e-06	33	8	1e-08	1e-08	1e-08	u	273	34	0.04	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-35	0.1	64.1	None	g	28.9	4.09e-06	34	8	1e-08	1e-08	1e-08	u	273	35	0.045	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-36	0.1	64.4	None	g	32.7	3.98e-06	35	8	1e-08	1e-08	1e-08	u	273	36	0.05	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-37	0.1	64.4	None	g	35.3	3.87e-06	36	8	1e-08	1e-08	1e-08	u	273	37	0.055	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-38	0.1	65.4	None	g	38.0	3.74e-06	37	8	1e-08	1e-08	1e-08	u	273	38	0.06	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-39	0.1	64.7	None	g	40.3	3.46e-06	38	8	1e-08	1e-08	1e-08	u	273	39	0.07	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-40	0.1	65.3	None	g	41.7	3.19e-06	39	8	1e-08	1e-08	1e-08	u	273	40	0.08	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-41	0.1	64.7	None	g	43.3	2.78e-06	40	8	1e-08	1e-08	1e-08	u	273	41	0.09	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-42	0.1	67.2	None	g	46.7	2.3e-06	41	8	1e-08	1e-08	1e-08	u	273	42	0.1	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-43	0.1	62.4	None	g	44.2	1.5e-06	42	8	1e-08	1e-08	1e-08	u	273	43	0.12	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-44	0.1	59.0	None	g	42.8	1.14e-06	43	8	1e-08	1e-08	1e-08	u	273	44	0.13	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-45	0.1	67.0	None	g	51.2	8.74e-07	44	8	1e-08	1e-08	1e-08	u	273	45	0.14	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-46	0.1	55.8	None	g	38.4	6.620000000000001e-07	45	8	1e-08	1e-08	1e-08	u	273	46	0.15	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-47	0.1	65.7	None	g	53.1	4.6e-07	46	8	1e-08	1e-08	1e-08	u	273	47	0.16	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-48	0.1	44.3	None	g	30.7	3.78e-07	47	8	1e-08	1e-08	1e-08	u	273	48	0.17	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-49	0.1	0.0	None	g	42.9	1.98e-05	0	8	1e-08	1e-08	1e-08	u	273	49	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-50	0.1	360.0	None	g	42.9	1.98e-05	1	8	1e-08	1e-08	1e-08	u	273	50	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-51	0.1	0.0	None	g	42.9	1.98e-05	2	8	1e-08	1e-08	1e-08	u	273	51	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-52	0.1	359.9	None	g	42.9	1.98e-05	3	8	1e-08	1e-08	1e-08	u	273	52	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-53	0.1	354.8	None	g	42.9	1.92e-05	4	8	1e-08	1e-08	1e-08	u	273	53	0.0025	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-54	0.1	351.7	None	g	42.9	1.88e-05	5	8	1e-08	1e-08	1e-08	u	273	54	0.003	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-55	0.1	345.4	None	g	43.2	1.8e-05	6	8	1e-08	1e-08	1e-08	u	273	55	0.004	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-56	0.1	340.3	None	g	43.7	1.7e-05	7	8	1e-08	1e-08	1e-08	u	273	56	0.005	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-57	0.1	336.2	None	g	44.8	1.58e-05	8	8	1e-08	1e-08	1e-08	u	273	57	0.006	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-58	0.1	333.8	None	g	47.0	1.44e-05	9	8	1e-08	1e-08	1e-08	u	273	58	0.006999999999999999	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-59	0.1	332.8	None	g	49.9	1.31e-05	10	8	1e-08	1e-08	1e-08	u	273	59	0.008	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-60	0.1	332.6	None	g	53.2	1.19e-05	11	8	1e-08	1e-08	1e-08	u	273	60	0.009000000000000001	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-61	0.1	333.3	None	g	58.4	1.05e-05	12	8	1e-08	1e-08	1e-08	u	273	61	0.01	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-62	0.1	334.1	None	g	62.5	9.72e-06	13	8	1e-08	1e-08	1e-08	u	273	62	0.011000000000000001	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-63	0.1	334.8	None	g	66.2	9.1e-06	14	8	1e-08	1e-08	1e-08	u	273	63	0.012	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-64	0.1	335.8	None	g	69.7	8.59e-06	15	8	1e-08	1e-08	1e-08	u	273	64	0.013000000000000001	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-65	0.1	336.8	None	g	72.7	8.2e-06	16	8	1e-08	1e-08	1e-08	u	273	65	0.013999999999999999	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-66	0.1	337.6	None	g	75.5	7.91e-06	17	8	1e-08	1e-08	1e-08	u	273	66	0.015	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-67	0.1	338.5	None	g	78.1	7.61e-06	18	8	1e-08	1e-08	1e-08	u	273	67	0.016	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-68	0.1	338.7	None	g	80.1	7.42e-06	19	8	1e-08	1e-08	1e-08	u	273	68	0.017	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-69	0.1	339.1	None	g	82.2	7.23e-06	20	8	1e-08	1e-08	1e-08	u	273	69	0.018000000000000002	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-70	0.1	339.0	None	g	83.7	7.08e-06	21	8	1e-08	1e-08	1e-08	u	273	70	0.019	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-71	0.1	338.3	None	g	85.2	6.95e-06	22	8	1e-08	1e-08	1e-08	u	273	71	0.02	0	0.0	0.0	273
None	This study	Duluth Complex	DA4-1C	DA4	DA4-1C	DA4-1C_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA4-1C_LP-DIR-AF-72	0.1	334.8	None	g	86.4	6.82e-06	23	8	1e-08	1e-08	1e-08	u	273	72	0.021	0	0.0	0.0	273
