tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
DA2-1d_LP-DIR-AF-11	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.5	-49.8	0.008	0.0	0.0	0.0	10.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	11.0	u	8.0	273.0			pmagpy-4.2.24-1	1.7199999999999998e-05	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-12	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.4	-48.8	0.009000000000000001	0.0	0.0	0.0	11.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	12.0	u	8.0	273.0			pmagpy-4.2.24-1	1.6100000000000002e-05	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-13	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.1	-47.0	0.01	0.0	0.0	0.0	12.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	13.0	u	8.0	273.0			pmagpy-4.2.24-1	1.44e-05	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-14	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.0	-45.4	0.011000000000000001	0.0	0.0	0.0	13.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	14.0	u	8.0	273.0			pmagpy-4.2.24-1	1.33e-05	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-15	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.7	-43.6	0.012	0.0	0.0	0.0	14.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	15.0	u	8.0	273.0			pmagpy-4.2.24-1	1.22e-05	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-16	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.5	-41.5	0.013000000000000001	0.0	0.0	0.0	15.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	16.0	u	8.0	273.0			pmagpy-4.2.24-1	1.11e-05	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-17	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.4	-39.2	0.013999999999999999	0.0	0.0	0.0	16.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	17.0	u	8.0	273.0			pmagpy-4.2.24-1	1.02e-05	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-18	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.2	-36.5	0.015	0.0	0.0	0.0	17.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	18.0	u	8.0	273.0			pmagpy-4.2.24-1	9.3e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-19	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.9	-33.3	0.016	0.0	0.0	0.0	18.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	19.0	u	8.0	273.0			pmagpy-4.2.24-1	8.49e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-20	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.8	-29.8	0.017	0.0	0.0	0.0	19.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	20.0	u	8.0	273.0			pmagpy-4.2.24-1	7.77e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-21	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.8	-26.2	0.018000000000000002	0.0	0.0	0.0	20.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	21.0	u	8.0	273.0			pmagpy-4.2.24-1	7.19e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-22	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.6	-22.0	0.019	0.0	0.0	0.0	21.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	22.0	u	8.0	273.0			pmagpy-4.2.24-1	6.64e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-23	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.6	-18.4	0.02	0.0	0.0	0.0	22.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	23.0	u	8.0	273.0			pmagpy-4.2.24-1	6.25e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-24	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.5	-14.3	0.021	0.0	0.0	0.0	23.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	24.0	u	8.0	273.0			pmagpy-4.2.24-1	5.89e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-25	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.6	-10.4	0.022000000000000002	0.0	0.0	0.0	24.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	25.0	u	8.0	273.0			pmagpy-4.2.24-1	5.59e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-26	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.5	-6.7	0.023	0.0	0.0	0.0	25.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	26.0	u	8.0	273.0			pmagpy-4.2.24-1	5.35e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-27	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.6	-3.3	0.024	0.0	0.0	0.0	26.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	27.0	u	8.0	273.0			pmagpy-4.2.24-1	5.16e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-28	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.7	-0.3	0.025	0.0	0.0	0.0	27.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	28.0	u	8.0	273.0			pmagpy-4.2.24-1	5.01e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-29	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.9	5.6	0.0275	0.0	0.0	0.0	28.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	29.0	u	8.0	273.0			pmagpy-4.2.24-1	4.73e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-30	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.1	11.8	0.03	0.0	0.0	0.0	29.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	30.0	u	8.0	273.0			pmagpy-4.2.24-1	4.52e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-31	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.3	16.2	0.0325	0.0	0.0	0.0	30.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	31.0	u	8.0	273.0			pmagpy-4.2.24-1	4.38e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-32	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.5	19.9	0.035	0.0	0.0	0.0	31.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	32.0	u	8.0	273.0			pmagpy-4.2.24-1	4.28e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-33	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.4	23.0	0.0375	0.0	0.0	0.0	32.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	33.0	u	8.0	273.0			pmagpy-4.2.24-1	4.23e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-34	DA2-1d_LP-DIR-AF	DA2-1d	0.1	63.6	24.3	0.04	0.0	0.0	0.0	33.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	34.0	u	8.0	273.0			pmagpy-4.2.24-1	4.19e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-35	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.1	28.9	0.045	0.0	0.0	0.0	34.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	35.0	u	8.0	273.0			pmagpy-4.2.24-1	4.09e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-36	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.4	32.7	0.05	0.0	0.0	0.0	35.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	36.0	u	8.0	273.0			pmagpy-4.2.24-1	3.98e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-37	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.4	35.3	0.055	0.0	0.0	0.0	36.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	37.0	u	8.0	273.0			pmagpy-4.2.24-1	3.87e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-38	DA2-1d_LP-DIR-AF	DA2-1d	0.1	65.4	38.0	0.06	0.0	0.0	0.0	37.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	38.0	u	8.0	273.0			pmagpy-4.2.24-1	3.74e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-39	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.7	40.3	0.07	0.0	0.0	0.0	38.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	39.0	u	8.0	273.0			pmagpy-4.2.24-1	3.46e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-40	DA2-1d_LP-DIR-AF	DA2-1d	0.1	65.3	41.7	0.08	0.0	0.0	0.0	39.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	40.0	u	8.0	273.0			pmagpy-4.2.24-1	3.19e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-41	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.7	43.3	0.09	0.0	0.0	0.0	40.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	41.0	u	8.0	273.0			pmagpy-4.2.24-1	2.78e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-42	DA2-1d_LP-DIR-AF	DA2-1d	0.1	67.2	46.7	0.1	0.0	0.0	0.0	41.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	42.0	u	8.0	273.0			pmagpy-4.2.24-1	2.3e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-43	DA2-1d_LP-DIR-AF	DA2-1d	0.1	62.4	44.2	0.12	0.0	0.0	0.0	42.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	43.0	u	8.0	273.0			pmagpy-4.2.24-1	1.5e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-44	DA2-1d_LP-DIR-AF	DA2-1d	0.1	59.0	42.8	0.13	0.0	0.0	0.0	43.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	44.0	u	8.0	273.0			pmagpy-4.2.24-1	1.14e-06	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-45	DA2-1d_LP-DIR-AF	DA2-1d	0.1	67.0	51.2	0.14	0.0	0.0	0.0	44.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	45.0	u	8.0	273.0			pmagpy-4.2.24-1	8.74e-07	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-46	DA2-1d_LP-DIR-AF	DA2-1d	0.1	55.8	38.4	0.15	0.0	0.0	0.0	45.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	46.0	u	8.0	273.0			pmagpy-4.2.24-1	6.620000000000001e-07	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-47	DA2-1d_LP-DIR-AF	DA2-1d	0.1	65.7	53.1	0.16	0.0	0.0	0.0	46.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	47.0	u	8.0	273.0			pmagpy-4.2.24-1	4.6e-07	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA2-1d_LP-DIR-AF-48	DA2-1d_LP-DIR-AF	DA2-1d	0.1	44.3	30.7	0.17	0.0	0.0	0.0	47.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	48.0	u	8.0	273.0			pmagpy-4.2.24-1	3.78e-07	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth Complex
DA4-1C_LP-DIR-AF-49	DA4-1C_LP-DIR-AF	DA4-1C	0.1	0.0	42.9	0.0	0.0	0.0	0.0	0.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	g	49.0	u	8.0	273.0			pmagpy-4.2.24-1	1.98e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-50	DA4-1C_LP-DIR-AF	DA4-1C	0.1	360.0	42.9	0.0	0.0	0.0	0.0	1.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	g	50.0	u	8.0	273.0			pmagpy-4.2.24-1	1.98e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-51	DA4-1C_LP-DIR-AF	DA4-1C	0.1	0.0	42.9	0.0	0.0	0.0	0.0	2.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	g	51.0	u	8.0	273.0			pmagpy-4.2.24-1	1.98e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-52	DA4-1C_LP-DIR-AF	DA4-1C	0.1	359.9	42.9	0.0	0.0	0.0	0.0	3.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	g	52.0	u	8.0	273.0			pmagpy-4.2.24-1	1.98e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-53	DA4-1C_LP-DIR-AF	DA4-1C	0.1	354.8	42.9	0.0025	0.0	0.0	0.0	4.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	53.0	u	8.0	273.0			pmagpy-4.2.24-1	1.92e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-54	DA4-1C_LP-DIR-AF	DA4-1C	0.1	351.7	42.9	0.003	0.0	0.0	0.0	5.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	54.0	u	8.0	273.0			pmagpy-4.2.24-1	1.88e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-55	DA4-1C_LP-DIR-AF	DA4-1C	0.1	345.4	43.2	0.004	0.0	0.0	0.0	6.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	55.0	u	8.0	273.0			pmagpy-4.2.24-1	1.8e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-56	DA4-1C_LP-DIR-AF	DA4-1C	0.1	340.3	43.7	0.005	0.0	0.0	0.0	7.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	56.0	u	8.0	273.0			pmagpy-4.2.24-1	1.7e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-57	DA4-1C_LP-DIR-AF	DA4-1C	0.1	336.2	44.8	0.006	0.0	0.0	0.0	8.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	57.0	u	8.0	273.0			pmagpy-4.2.24-1	1.58e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-58	DA4-1C_LP-DIR-AF	DA4-1C	0.1	333.8	47.0	0.006999999999999999	0.0	0.0	0.0	9.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	58.0	u	8.0	273.0			pmagpy-4.2.24-1	1.44e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-59	DA4-1C_LP-DIR-AF	DA4-1C	0.1	332.8	49.9	0.008	0.0	0.0	0.0	10.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	59.0	u	8.0	273.0			pmagpy-4.2.24-1	1.31e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-60	DA4-1C_LP-DIR-AF	DA4-1C	0.1	332.6	53.2	0.009000000000000001	0.0	0.0	0.0	11.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	60.0	u	8.0	273.0			pmagpy-4.2.24-1	1.19e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-61	DA4-1C_LP-DIR-AF	DA4-1C	0.1	333.3	58.4	0.01	0.0	0.0	0.0	12.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	61.0	u	8.0	273.0			pmagpy-4.2.24-1	1.05e-05	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-62	DA4-1C_LP-DIR-AF	DA4-1C	0.1	334.1	62.5	0.011000000000000001	0.0	0.0	0.0	13.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	62.0	u	8.0	273.0			pmagpy-4.2.24-1	9.72e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-63	DA4-1C_LP-DIR-AF	DA4-1C	0.1	334.8	66.2	0.012	0.0	0.0	0.0	14.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	63.0	u	8.0	273.0			pmagpy-4.2.24-1	9.1e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-64	DA4-1C_LP-DIR-AF	DA4-1C	0.1	335.8	69.7	0.013000000000000001	0.0	0.0	0.0	15.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	64.0	u	8.0	273.0			pmagpy-4.2.24-1	8.59e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-65	DA4-1C_LP-DIR-AF	DA4-1C	0.1	336.8	72.7	0.013999999999999999	0.0	0.0	0.0	16.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	65.0	u	8.0	273.0			pmagpy-4.2.24-1	8.2e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-66	DA4-1C_LP-DIR-AF	DA4-1C	0.1	337.6	75.5	0.015	0.0	0.0	0.0	17.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	66.0	u	8.0	273.0			pmagpy-4.2.24-1	7.91e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-67	DA4-1C_LP-DIR-AF	DA4-1C	0.1	338.5	78.1	0.016	0.0	0.0	0.0	18.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	67.0	u	8.0	273.0			pmagpy-4.2.24-1	7.61e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-68	DA4-1C_LP-DIR-AF	DA4-1C	0.1	338.7	80.1	0.017	0.0	0.0	0.0	19.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	68.0	u	8.0	273.0			pmagpy-4.2.24-1	7.42e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-69	DA4-1C_LP-DIR-AF	DA4-1C	0.1	339.1	82.2	0.018000000000000002	0.0	0.0	0.0	20.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	69.0	u	8.0	273.0			pmagpy-4.2.24-1	7.23e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
DA4-1C_LP-DIR-AF-70	DA4-1C_LP-DIR-AF	DA4-1C	0.1	339.0	83.7	0.019	0.0	0.0	0.0	21.0	273.0	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	70.0	u	8.0	273.0			pmagpy-4.2.24-1	7.08e-06	1e-08	1e-08	1e-08	DA4-1C	DA4	Duluth Complex
